date,revenue,cost,profit,growth_rate
2025-03-19,261320.5,181117.78,80202.71,0.0
2025-03-20,253015.38,181145.12,71870.25,-52.09
2025-03-21,266963.27,173857.16,93106.1,-37.93
2025-03-22,256091.01,171947.44,84143.57,-43.9
2025-03-23,254045.59,155921.52,98124.06,-34.58
2025-03-24,255938.02,173678.95,82259.07,-45.16
2025-03-25,255025.05,197206.39,57818.66,-61.45
2025-03-26,257719.55,228625.42,29094.13,-80.6
2025-03-27,252948.32,181815.44,71132.89,-52.58
2025-03-28,255819.7,191192.48,64627.22,-56.92
2025-03-29,255831.74,202775.79,53055.94,-64.63
2025-03-30,256203.79,179271.84,76931.95,-48.71
2025-03-31,263248.12,168204.44,95043.68,-36.64
2025-04-01,237738.61,180605.74,57132.87,-61.91
2025-04-02,228567.64,161955.81,66611.83,-55.59
2025-04-03,220712.1,137025.86,83686.24,-44.21
2025-04-04,223200.0,168037.48,55162.52,-63.22
2025-04-05,220198.52,155619.02,64579.5,-56.95
2025-04-06,222259.49,181786.54,40472.96,-73.02
2025-04-07,229327.72,170784.17,58543.56,-60.97
2025-04-08,228746.95,150524.44,78222.51,-47.85
2025-04-09,223967.78,139888.56,84079.22,-43.95
2025-04-10,230335.43,148493.39,81842.04,-45.44
2025-04-11,220003.5,163185.35,56818.15,-62.12
2025-04-12,226750.09,162825.11,63924.98,-57.38
2025-04-13,222521.74,172403.55,50118.19,-66.59
2025-04-14,226972.38,157132.55,69839.83,-53.44
2025-04-15,219067.19,164765.82,54301.37,-63.8
2025-04-16,224491.33,161152.36,63338.96,-57.77
2025-04-17,221939.64,163610.7,58328.94,-61.11
2025-04-18,221869.82,149742.64,72127.18,-51.92
2025-04-19,227795.48,172648.32,55147.16,-63.24
2025-04-20,223161.06,161939.81,61221.25,-59.19
2025-04-21,231757.0,164264.18,67492.81,-55.0
2025-04-22,222417.79,152048.56,70369.23,-53.09
2025-04-23,231349.61,158567.57,72782.04,-51.48
2025-04-24,225642.75,155303.28,70339.47,-53.11
2025-04-25,223852.02,153460.22,70391.8,-53.07
2025-04-26,224926.2,161992.42,62933.78,-58.04
2025-04-27,221414.89,170533.29,50881.6,-66.08
2025-04-28,217027.63,151631.63,65396.0,-56.4
2025-04-29,226167.75,153425.31,72742.44,-51.51
2025-04-30,224854.55,160788.4,64066.15,-57.29
2025-05-01,227274.39,159008.21,68266.18,-54.49
2025-05-02,230917.39,170323.89,60593.5,-59.6
2025-05-03,222153.94,170880.99,51272.96,-65.82
2025-05-04,228441.95,184928.97,43512.99,-70.99
2025-05-05,223580.59,166826.47,56754.11,-62.16
