date,campaign_id,channel,budget,clicks,conversions,conversion_rate
2025-03-19,C00001,Facebook,900.0,143,3,2.1
2025-03-19,C00002,Google,500.0,60,1,1.67
2025-03-19,C00003,Email,360.0,69,2,2.9
2025-03-19,C00004,SMS,240.0,64,0,0.0
2025-03-20,C00005,Facebook,900.0,139,2,1.44
2025-03-20,C00006,Google,500.0,55,1,1.82
2025-03-20,C00007,Email,360.0,72,2,2.78
2025-03-20,C00008,SMS,240.0,58,2,3.45
2025-03-21,C00009,Facebook,900.0,133,3,2.26
2025-03-21,C00010,Google,500.0,59,2,3.39
2025-03-21,C00011,Email,360.0,72,0,0.0
2025-03-21,C00012,SMS,240.0,64,0,0.0
2025-03-22,C00013,Facebook,900.0,139,1,0.72
2025-03-22,C00014,Google,500.0,64,1,1.56
2025-03-22,C00015,Email,360.0,72,1,1.39
2025-03-22,C00016,SMS,240.0,56,1,1.79
2025-03-23,C00017,Facebook,900.0,139,3,2.16
2025-03-23,C00018,Google,500.0,61,2,3.28
2025-03-23,C00019,Email,360.0,71,0,0.0
2025-03-23,C00020,SMS,240.0,56,2,3.57
2025-03-24,C00021,Facebook,900.0,139,5,3.6
2025-03-24,C00022,Google,500.0,64,0,0.0
2025-03-24,C00023,Email,360.0,69,1,1.45
2025-03-24,C00024,SMS,240.0,62,2,3.23
2025-03-25,C00025,Facebook,900.0,144,4,2.78
2025-03-25,C00026,Google,500.0,59,1,1.69
2025-03-25,C00027,Email,360.0,72,0,0.0
2025-03-25,C00028,SMS,240.0,60,1,1.67
2025-03-26,C00029,Facebook,900.0,126,2,1.59
2025-03-26,C00030,Google,500.0,59,1,1.69
2025-03-26,C00031,Email,360.0,73,1,1.37
2025-03-26,C00032,SMS,240.0,57,1,1.75
2025-03-27,C00033,Facebook,900.0,139,3,2.16
2025-03-27,C00034,Google,500.0,61,0,0.0
2025-03-27,C00035,Email,360.0,70,1,1.43
2025-03-27,C00036,SMS,240.0,61,1,1.64
2025-03-28,C00037,Facebook,900.0,130,2,1.54
2025-03-28,C00038,Google,500.0,60,1,1.67
2025-03-28,C00039,Email,360.0,71,1,1.41
2025-03-28,C00040,SMS,240.0,56,1,1.79
2025-03-29,C00041,Facebook,900.0,141,0,0.0
2025-03-29,C00042,Google,500.0,63,2,3.17
2025-03-29,C00043,Email,360.0,74,2,2.7
2025-03-29,C00044,SMS,240.0,59,0,0.0
2025-03-30,C00045,Facebook,900.0,130,4,3.08
2025-03-30,C00046,Google,500.0,55,1,1.82
2025-03-30,C00047,Email,360.0,73,1,1.37
2025-03-30,C00048,SMS,240.0,58,1,1.72
2025-03-31,C00049,Facebook,900.0,143,4,2.8
2025-03-31,C00050,Google,500.0,56,1,1.79
2025-03-31,C00051,Email,360.0,69,2,2.9
2025-03-31,C00052,SMS,240.0,60,0,0.0
2025-04-01,C00053,Facebook,900.0,131,4,3.05
2025-04-01,C00054,Google,500.0,57,1,1.75
2025-04-01,C00055,Email,360.0,69,0,0.0
2025-04-01,C00056,SMS,240.0,60,1,1.67
2025-04-02,C00057,Facebook,900.0,134,2,1.49
2025-04-02,C00058,Google,500.0,63,2,3.17
2025-04-02,C00059,Email,360.0,74,1,1.35
2025-04-02,C00060,SMS,240.0,64,0,0.0
2025-04-03,C00061,Facebook,900.0,135,3,2.22
2025-04-03,C00062,Google,500.0,60,1,1.67
2025-04-03,C00063,Email,360.0,73,2,2.74
2025-04-03,C00064,SMS,240.0,61,1,1.64
2025-04-04,C00065,Facebook,900.0,128,3,2.34
2025-04-04,C00066,Google,500.0,60,1,1.67
2025-04-04,C00067,Email,360.0,73,1,1.37
2025-04-04,C00068,SMS,240.0,57,1,1.75
2025-04-05,C00069,Facebook,900.0,126,3,2.38
2025-04-05,C00070,Google,500.0,58,1,1.72
2025-04-05,C00071,Email,360.0,72,2,2.78
2025-04-05,C00072,SMS,240.0,61,1,1.64
2025-04-06,C00073,Facebook,900.0,128,2,1.56
2025-04-06,C00074,Google,500.0,60,0,0.0
2025-04-06,C00075,Email,360.0,71,0,0.0
2025-04-06,C00076,SMS,240.0,60,2,3.33
2025-04-07,C00077,Facebook,900.0,139,3,2.16
2025-04-07,C00078,Google,500.0,64,1,1.56
2025-04-07,C00079,Email,360.0,69,1,1.45
2025-04-07,C00080,SMS,240.0,59,1,1.69
2025-04-08,C00081,Facebook,900.0,131,2,1.53
2025-04-08,C00082,Google,500.0,56,1,1.79
2025-04-08,C00083,Email,360.0,73,2,2.74
2025-04-08,C00084,SMS,240.0,57,1,1.75
2025-04-09,C00085,Facebook,900.0,140,4,2.86
2025-04-09,C00086,Google,500.0,57,1,1.75
2025-04-09,C00087,Email,360.0,74,3,4.05
2025-04-09,C00088,SMS,240.0,63,1,1.59
2025-04-10,C00089,Facebook,900.0,142,3,2.11
2025-04-10,C00090,Google,500.0,60,0,0.0
2025-04-10,C00091,Email,360.0,72,1,1.39
2025-04-10,C00092,SMS,240.0,58,1,1.72
2025-04-11,C00093,Facebook,900.0,138,5,3.62
2025-04-11,C00094,Google,500.0,59,0,0.0
2025-04-11,C00095,Email,360.0,72,1,1.39
2025-04-11,C00096,SMS,240.0,56,1,1.79
2025-04-12,C00097,Facebook,900.0,132,3,2.27
2025-04-12,C00098,Google,500.0,56,0,0.0
2025-04-12,C00099,Email,360.0,74,2,2.7
2025-04-12,C00100,SMS,240.0,61,0,0.0
