date,ticket_id,issue_type,resolution_hours,satisfaction_score,churn_risk
2025-03-19,TKT157450,Billing Problem,5.6,8.5,0.11
2025-03-19,TKT157450,Technical Issue,7.8,7.0,0.0
2025-03-19,TKT157450,Billing Problem,18.1,6.2,0.391
2025-03-19,TKT157450,Billing Problem,30.7,6.0,0.271
2025-03-19,TKT157450,Account Access,6.7,4.4,0.675
2025-03-19,TKT157450,Technical Issue,36.2,3.8,0.487
2025-03-19,TKT157450,Billing Problem,7.1,7.4,0.2
2025-03-19,TKT157450,Technical Issue,31.1,5.7,0.212
2025-03-19,TKT157450,Technical Issue,24.3,6.3,0.09
2025-03-19,TKT157450,Technical Issue,17.5,9.4,0.134
2025-03-19,TKT157450,Account Access,5.4,6.9,0.362
2025-03-19,TKT157450,Account Access,3.3,6.1,0.228
2025-03-19,TKT157450,Service Quality,2.9,7.3,0.076
2025-03-19,TKT157450,Shipping/Delivery,5.8,7.1,0.074
2025-03-19,TKT157450,Shipping/Delivery,24.2,3.4,0.284
2025-03-19,TKT157450,Service Quality,5.8,7.3,0.0
2025-03-19,TKT157450,Service Quality,10.2,6.4,0.043
2025-03-19,TKT157450,Billing Problem,9.1,8.0,0.111
2025-03-19,TKT157450,Account Access,2.8,8.3,0.0
2025-03-19,TKT157450,Technical Issue,16.1,8.8,0.182
2025-03-19,TKT157450,Technical Issue,34.9,6.7,0.289
2025-03-19,TKT157450,Account Access,3.1,7.6,0.177
2025-03-19,TKT158451,Billing Problem,28.3,4.7,0.641
2025-03-19,TKT158451,Billing Problem,28.0,5.8,0.243
2025-03-19,TKT158451,Billing Problem,2.3,7.5,0.0
2025-03-19,TKT158451,Service Quality,20.6,8.5,0.126
2025-03-19,TKT158451,Account Access,4.3,6.9,0.397
2025-03-19,TKT158451,Billing Problem,8.5,8.1,0.0
2025-03-19,TKT158451,Technical Issue,46.5,6.5,0.293
2025-03-19,TKT158451,Service Quality,4.5,8.3,0.112
2025-03-19,TKT158451,Billing Problem,26.9,6.3,0.231
2025-03-19,TKT158451,Billing Problem,14.2,7.5,0.07
2025-03-19,TKT158451,Service Quality,12.4,8.2,0.006
2025-03-19,TKT158451,Product Feature,3.4,5.9,0.0
2025-03-19,TKT158451,Technical Issue,14.3,5.4,0.423
2025-03-19,TKT158451,Account Access,3.0,7.4,0.0
2025-03-19,TKT158451,Billing Problem,18.6,4.9,0.461
2025-03-19,TKT158451,Product Feature,21.3,7.6,0.027
2025-03-19,TKT158451,Account Access,3.7,7.8,0.096
2025-03-19,TKT158451,Billing Problem,23.4,7.8,0.055
2025-03-19,TKT158451,Technical Issue,5.0,7.2,0.05
2025-03-19,TKT158451,Technical Issue,32.3,3.7,0.731
2025-03-19,TKT158451,Technical Issue,19.8,5.9,0.2
2025-03-19,TKT158451,Account Access,3.8,5.3,0.236
2025-03-19,TKT158451,Product Feature,3.8,10.0,0.003
2025-03-19,TKT158451,Shipping/Delivery,15.0,6.8,0.121
2025-03-19,TKT158451,Technical Issue,4.1,7.6,0.098
2025-03-19,TKT158451,Product Feature,4.1,7.5,0.149
2025-03-19,TKT158451,Billing Problem,3.4,7.7,0.168
2025-03-19,TKT158451,Shipping/Delivery,7.3,6.8,0.301
2025-03-19,TKT158451,Account Access,1.3,8.2,0.032
2025-03-19,TKT158451,Account Access,1.4,6.7,0.301
2025-03-19,TKT158451,Shipping/Delivery,41.5,6.0,0.178
2025-03-19,TKT159450,Technical Issue,18.8,7.1,0.122
2025-03-19,TKT159450,Technical Issue,8.4,9.9,0.085
2025-03-19,TKT159450,Technical Issue,18.7,10.0,0.0
2025-03-20,TKT160515,Account Access,0.9,8.7,0.013
2025-03-20,TKT160515,Technical Issue,5.2,5.3,0.368
2025-03-20,TKT160515,Product Feature,6.8,10.0,0.0
2025-03-20,TKT160515,Technical Issue,12.1,7.2,0.05
2025-03-20,TKT160515,Technical Issue,19.7,7.5,0.084
2025-03-20,TKT160515,Technical Issue,39.1,5.5,0.369
2025-03-20,TKT160515,Billing Problem,21.3,8.8,0.0
2025-03-20,TKT160515,Service Quality,17.6,7.7,0.0
2025-03-20,TKT160515,Account Access,1.1,5.4,0.176
2025-03-20,TKT160515,Technical Issue,18.0,7.3,0.033
2025-03-20,TKT160515,Billing Problem,11.6,7.5,0.106
2025-03-20,TKT160515,Technical Issue,18.8,5.3,0.047
2025-03-20,TKT160515,Account Access,1.9,6.7,0.0
2025-03-20,TKT160515,Technical Issue,20.1,8.6,0.091
2025-03-20,TKT160515,Technical Issue,10.4,7.1,0.074
2025-03-20,TKT160515,Billing Problem,27.0,6.9,0.237
2025-03-20,TKT160515,Technical Issue,14.6,8.6,0.094
2025-03-20,TKT161518,Account Access,4.6,8.2,0.184
2025-03-20,TKT161518,Account Access,3.7,8.9,0.022
2025-03-20,TKT161518,Billing Problem,13.5,6.5,0.261
2025-03-20,TKT161518,Billing Problem,5.0,8.7,0.006
2025-03-20,TKT161518,Technical Issue,51.9,3.1,0.524
2025-03-20,TKT161518,Technical Issue,22.7,10.0,0.179
2025-03-20,TKT161518,Shipping/Delivery,1.8,9.6,0.07
2025-03-20,TKT161518,Billing Problem,5.0,6.8,0.166
2025-03-20,TKT161518,Account Access,2.7,6.7,0.218
2025-03-20,TKT161518,Billing Problem,44.7,4.5,0.667
2025-03-20,TKT161518,Technical Issue,26.5,3.3,0.443
2025-03-20,TKT161518,Billing Problem,34.9,4.8,0.441
2025-03-20,TKT161518,Account Access,4.2,8.1,0.117
2025-03-20,TKT161518,Shipping/Delivery,29.5,4.4,0.507
2025-03-20,TKT161518,Billing Problem,35.4,5.1,0.329
2025-03-20,TKT161518,Technical Issue,76.1,3.8,0.628
2025-03-20,TKT162517,Billing Problem,29.7,5.8,0.361
2025-03-20,TKT162517,Technical Issue,56.8,4.2,0.642
2025-03-20,TKT162517,Service Quality,28.8,7.1,0.189
2025-03-20,TKT162517,Shipping/Delivery,10.5,9.6,0.139
2025-03-20,TKT162517,Billing Problem,8.6,8.5,0.19
2025-03-20,TKT162517,Technical Issue,68.3,1.0,0.931
2025-03-20,TKT162517,Billing Problem,12.2,8.0,0.187
2025-03-20,TKT162517,Service Quality,12.5,10.0,0.0
2025-03-20,TKT162517,Product Feature,5.4,6.8,0.169
2025-03-20,TKT162517,Technical Issue,32.9,5.0,0.674
2025-03-20,TKT163516,Technical Issue,31.9,4.9,0.419
2025-03-20,TKT163516,Account Access,4.1,6.9,0.244
2025-03-20,TKT163516,Technical Issue,53.4,2.9,0.683
2025-03-20,TKT163516,Technical Issue,54.8,4.3,0.705
2025-03-20,TKT163516,Technical Issue,39.9,4.9,0.499
2025-03-20,TKT163516,Service Quality,3.6,9.9,0.036
2025-03-20,TKT163516,Technical Issue,22.0,10.0,0.078
2025-03-21,TKT165023,Technical Issue,16.4,9.8,0.07
2025-03-21,TKT165023,Shipping/Delivery,2.9,6.6,0.116
2025-03-21,TKT165023,Billing Problem,22.2,10.0,0.132
2025-03-21,TKT165023,Product Feature,16.8,10.0,0.144
2025-03-21,TKT165023,Billing Problem,33.6,5.4,0.0
2025-03-21,TKT165023,Shipping/Delivery,6.5,6.6,0.1
2025-03-21,TKT165023,Billing Problem,23.2,7.3,0.153
2025-03-21,TKT165023,Technical Issue,29.8,5.5,0.264
2025-03-21,TKT165023,Technical Issue,16.2,6.4,0.054
2025-03-21,TKT165023,Service Quality,13.0,7.2,0.188
2025-03-21,TKT165023,Technical Issue,33.2,6.6,0.458
2025-03-21,TKT166028,Billing Problem,14.3,7.8,0.154
2025-03-21,TKT166028,Technical Issue,37.5,4.9,0.63
2025-03-21,TKT166028,Technical Issue,7.4,6.7,0.25
2025-03-21,TKT166028,Technical Issue,42.5,6.0,0.263
2025-03-21,TKT166028,Account Access,4.0,5.0,0.709
2025-03-21,TKT166028,Technical Issue,45.3,4.3,0.718
2025-03-21,TKT166028,Billing Problem,5.3,6.4,0.316
2025-03-21,TKT166028,Technical Issue,3.3,7.8,0.156
2025-03-21,TKT166028,Account Access,9.8,6.4,0.237
2025-03-21,TKT166028,Account Access,3.5,7.9,0.21
2025-03-21,TKT166028,Billing Problem,18.4,6.2,0.35
2025-03-21,TKT166028,Billing Problem,11.4,4.0,0.563
2025-03-21,TKT166028,Billing Problem,5.6,8.7,0.0
2025-03-21,TKT166028,Account Access,2.2,4.6,0.493
2025-03-21,TKT166028,Shipping/Delivery,9.1,8.6,0.0
2025-03-21,TKT166028,Technical Issue,72.0,3.2,0.586
